SEX,ECONOMY_,LEISURE,HEALTH,GOMIN,CYBER,PIHAEJA,GAHAEJA,BOHOJA,PUNISH_P,PUNISH_T,BULLYING,final_class
1,2,0,3,1,1,1,1,3,1,1,1,1
1,3,0,4,1,1,1,1,3,2.5,1,1.286,1
1,3,0,4,1,1.2,1.2,1.1,4,1,1,1,1
1,3,1,4,1,1.4,1.3,1.3,4,1,2.5,1,0
1,2,5,3,1,1,1,1,2.75,2.5,4,1,0
1,1,0,2,0,1.8,1.5,1,4,1.5,5,1.571,0
1,2,0,3,1,1,1,1,3.25,3,4,1.571,0
1,2,5,2,0,1,1,1,2.75,3,1,1,0
1,3,0,4,1,1,1,1,4,1,1,1,0
1,3,0,3,1,1,1,1,4,1,1,1,0
1,3,1,3,1,1,1,1,4,1,1,1,1
1,2,0,4,1,1,1.4,1.1,4,1,1,1,1
1,3,0,4,1,1,1,1,4,1,1,1,1
1,3,1,4,1,1.8,2.8,2.1,2.75,1.5,1.5,1,1
1,2,3,4,1,1,1.1,1.8,3.75,1,1,1,1
1,2,2,3,1,1.2,1.5,1.4,2.75,2.5,2,2.286,0
1,2,0,3,1,1,1,1,4,1,1,1,1
1,3,3,4,1,2,1.4,1.8,3.75,1.5,2,1,1
1,3,1,4,1,1.2,1.3,1,3.25,2,1.5,1.143,1
1,2,1,3,1,1.2,1.5,1.2,3.5,2.5,2.5,1,1
1,2,1,3,1,1.2,1.4,1.1,3,2,1,1.143,0
1,3,0,3,1,1.2,1.3,1,3,3,1.5,1,1
1,3,0,3,0,1,2.2,1,3,1.5,1,1,0
1,2,0,2,1,1,2.1,1.4,3,1,1,1,0
1,3,2,3,1,1.8,1.1,1,3.75,1,1,1,0
1,1,0,2,0,2.2,2,1.3,3.25,2.5,1,1.143,0
1,3,0,4,1,1,1.4,1,4,1,1,1,1
1,3,1,3,1,1,1,1,3,1,1,1,1
1,3,2,4,1,1,1.2,1.2,3,1,2,1,1
1,3,0,3,1,1,1.1,1.2,3.5,1,1,1,1
1,2,1,4,1,1,1.1,1,4,1,1,1,1
1,3,2,3,1,1.4,1,1,4,1,1,1,1
1,3,0,4,1,1,1.9,1,4,1,1,1,0
1,1,0,3,1,1,1,1,3.5,1,1,1,0
1,3,0,3,1,1,1,1,3,1,1,1,1
1,2,1,3,1,1,1,1,4,1,1,1,1
1,2,0,3,1,1,1.4,1.3,3.75,1,1,1,0
1,2,2,3,1,1,1,1,4,1,1,1,0
1,3,1,4,1,1,1,1.4,3.75,1,1,1,1
1,3,0,4,1,1,1,1,2.25,1,1,1,1
1,2,0,3,1,1,1.1,1,2.75,1.5,1,1,0
1,3,0,3,1,1,1,1,4,1,1.5,1,1
1,2,0,4,1,1,1,1,4,1,1,1,1
1,3,0,3,1,1.6,1.4,1.5,3.75,1,2,1,1
1,3,0,4,1,1,1,1,1,2,1,1,0
1,2,1,3,1,1,1,1,3,1,1,1,1
1,1,1,3,0,1,1,1,4,1,1,1,0
1,3,0,4,1,1,1.1,1,4,1,1,1,1
1,3,1,3,1,1.4,1.3,1,3.5,1.5,1.5,1,1
1,1,3,3,1,1,1,1,3.25,1,1,1,0
1,3,0,2,1,1,1,1,4,1,1,1,1
1,1,1,3,1,1,1.3,1.1,4,1,2.5,1.143,0
1,2,0,3,0,1,1.1,1,4,1,1,1,0
1,3,1,3,1,1.2,1.2,1.4,3.75,2.5,2,1,1
1,2,1,4,1,1,1,1,4,1,1,1,1
1,2,0,4,1,2.6,2.2,2.3,3.25,1,2.5,1,1
1,2,1,3,1,1,1.4,1,4,1.5,2.5,1,0
1,3,2,4,1,1,1,1,4,1.5,2,1,1
1,3,0,3,0,1,1.1,1,2.5,1,1,1,0
1,3,1,2,1,1.2,1.9,2.1,3,4.5,3,1.571,1
1,1,1,3,0,1.8,3.2,1.8,4,1,3.5,2.143,0
1,2,1,4,0,1,1,1,3.75,1,1,1,0
1,2,0,3,1,1,1.2,1.1,3,1,1,1,0
1,3,2,3,1,1,1.6,1,3.75,1,2.5,1,0
1,1,1,3,1,1.6,1.3,1.1,3.25,1.5,1,1.143,0
1,2,0,3,1,1,1.3,1,3,1,1.5,1,0
1,3,1,3,1,1,1.5,1.3,3.75,1.5,4,1.571,0
1,1,0,4,0,1,1,1,3.5,1,1,1,0
1,1,2,3,1,1,1.5,1,4,1,2,1,0
1,3,1,3,1,1,1.4,1,3,1.5,1.5,1,0
1,3,1,3,1,1,1.3,1.4,4,1,1,1,0
1,1,1,2,1,1,1,1,4,1,1,1,1
1,2,2,3,1,1,1.3,1,4,1,1,1,0
1,3,0,4,1,1,1,1.6,4,1,1.5,1,1
1,3,1,3,1,1.2,1.3,1,4,1.5,2.5,1.143,0
1,2,0,3,1,2,1.2,1.2,3.25,1,2,1,0
1,3,1,2,1,1.6,2.4,2.2,2,3,2.5,1.429,0
1,3,1,2,1,1,1,1,4,3,1,1,0
1,3,5,4,1,1,1,1,3.75,1,1,1,1
1,2,0,3,1,1,1.3,1.3,4,1,1,1,0
1,2,0,3,1,1,1,1,3.75,1,1,1,1
1,2,2,4,1,1,1.1,1,4,1,1,1,1
1,1,0,3,1,1,1,1.1,3.25,1,1,1,0
1,2,1,2,1,1,1,1.5,3.5,1.5,1,1,0
1,3,1,4,1,1,1,1,4,1,2,1,1
1,2,1,3,1,1,1,1,3,1,1,1,0
1,2,0,2,0,1,1,1,3.75,1,1,1,0
1,3,0,3,1,1,1.2,1.2,4,1,1,1,1
1,2,2,3,0,1,1,1,2.75,1,1,1,0
1,2,2,3,1,1,1,1,3,1,1.5,1,0
1,3,2,4,1,1,1,1,4,1,1.5,1,1
1,3,2,4,1,1,1.1,1,4,1,1.5,1,1
1,1,5,3,1,1,1,1,4,1,2.5,1,1
1,2,2,3,1,1,1.2,1,3,1,1,1,0
1,2,1,3,1,1,1.4,1,2.75,2,1,1,0
1,2,3,3,1,1,1.3,1,3,1,1,1,0
1,3,2,2,1,1,1.8,2.3,4,1,1,1,1
1,3,3,3,1,1,1,1,3,1,1,1,1
1,2,0,2,1,1,1,1,3,1,1,1,0
1,3,1,3,1,1,1.1,1,3,1,1.5,1,0
1,3,2,4,1,3.4,1.7,1.4,4,2.5,3,1.143,1
1,1,1,2,1,1.6,2.6,1.3,4,1,3,1,0
1,3,0,3,1,1,1.4,1.1,4,1,3,1,0
1,1,2,2,0,1,1.3,1,3,1,2,1,0
1,2,2,4,1,1,1,1,4,1,1,1,1
1,2,1,4,1,1.4,1.1,1,4,1,4.5,1.571,1
1,2,5,2,1,1.4,1,1,2.5,1,1,2.714,0
1,1,5,1,1,1,1,2.1,4,1,1,1.571,1
1,1,5,2,0,1.4,1.8,1,3,3,1,1,0
1,1,5,2,0,1,2.5,1,2.5,1,1,1.286,1
1,3,2,3,1,1.8,1.8,1.5,3,2,3.5,1.571,0
1,3,2,3,1,1,1.6,1,3,1,1,1,0
1,1,2,3,0,1.2,2,1,3.25,3,1.5,1.143,1
1,1,1,3,1,1,1.5,1.2,3,1,2.5,1,0
1,3,2,3,1,1,1.4,1,2.5,2,1,1,0
1,3,1,1,0,1,1,1,3.25,3,1,1,1
1,3,1,3,1,1,1.4,1.1,2.75,2.5,1,1,0
1,3,1,4,1,1.6,1.5,1.1,3.75,1,1,1,1
1,3,2,4,1,1.2,1.1,1,3.25,1.5,1,1.143,1
1,2,0,3,1,1,1,1.9,4,1,1,1,1
1,1,2,3,1,1.2,1.7,1.4,2.75,4,2.5,1,0
1,1,0,3,1,1,1.7,1.8,3.5,1,1,1,1
1,3,2,3,1,1,1,1.111,3.25,1.5,1.5,1,1
1,3,1,4,1,1,1,1,4,1,1,1,1
1,2,0,3,1,1,1.1,1,3.75,1,1,1,0
1,1,1,3,1,1.6,1,1.1,3.5,2.5,1,1,0
1,3,1,4,1,1.2,1.3,1.1,4,1,1,1,1
1,1,1,4,1,1,2.2,1.4,3,2,2,1,0
1,3,0,3,1,1,1,1,4,1,1,1,1
1,3,1,2,1,1,1,1,3.75,1,1,1,0
1,3,1,4,1,1.4,1.3,1.9,4,1,NA,1.571,0
1,3,2,3,1,1.2,1,1,4,1,1,1,1
1,3,0,4,1,1,1.1,1,3.5,1,1,1,1
1,3,1,4,1,1,1,1,3.5,2,1,1,1
1,3,0,3,1,1,1.2,1,3.25,2.5,1,1,0
1,2,0,3,1,1,1.5,1.2,3.25,1,1,1,1
1,3,1,4,1,1,1,1,3.75,1,1,1,1
1,3,2,3,1,1,1,1,3.5,1,1,1,1
1,2,0,3,1,1,1,1,3.5,1,1,1,0
1,3,1,3,1,1,1.2,1,3.75,1,1,1,0
1,3,1,3,1,1.2,1.4,1.3,2.5,1,1,1.143,1
1,2,1,3,1,1,1,1,4,1,1,1,1
1,3,3,4,1,1,1.1,1.2,4,1,1,2.143,1
1,3,1,3,1,1,1,1,3.75,1,1,1.143,1
1,3,3,4,1,1,1.1,1,3.75,1,1,1,1
1,3,1,2,0,1,1.3,1,2.75,3,3,1.143,0
1,3,1,2,1,1,1,1,2.75,1.5,1,1,0
1,3,1,3,1,1,1.3,1,3,4.5,3,2.571,0
1,3,1,3,1,1,1,1,4,1,1,1,0
1,2,2,3,1,1,1,1,3.25,1,1.5,1,0
1,3,2,3,1,1,1,1,3,1,1,1,0
1,3,1,3,1,1,1,1,4,1,1,1,1
1,3,1,4,1,1,1,1,3.75,1,1,1,1
1,3,2,3,1,1,1,1,3.75,1,1,1,1
1,3,2,3,1,1,1,1,4,1,1,1,1
1,2,2,2,0,1,1.4,1,1.75,2.5,1,1,0
1,3,1,4,1,1,1,1,4,1,1,1,1
1,3,0,4,1,1,1,1,4,1,1,1,1
1,3,0,3,1,1,1,1,3,1.5,2,1,0
1,3,1,3,0,1,1.4,1,3,1,1,1,0
1,2,5,2,1,1,1,1,3,1,1,1,1
1,2,1,3,1,1,1.1,1.3,4,1,1,1,0
1,2,0,3,0,1.4,1.3,2.2,2.75,1,1,1,0
1,1,0,1,0,3.2,2.8,3,3,3,3,1,0
1,3,1,2,1,1,1,1,3.25,1,1,1,1
1,3,1,4,1,5,1,1,4,5,5,5,1
1,2,0,4,1,1,1,1,4,1,1,1,1
1,3,0,3,1,1,1,1,4,1,1,1,0
1,3,0,4,1,1,1,1,4,1.5,1,1,1
1,3,1,3,NA,1.8,1,1.3,3,1.5,1,1.143,0
1,3,2,4,1,1,1,1,4,1,1,1,1
1,3,2,4,1,1,1,1,4,1,1,1,1
1,3,3,4,1,1,1,1,4,1,1,1,1
1,3,3,2,1,1,1.2,1,2.5,1,1,1,0
1,2,1,3,1,1,1.4,1,3,5,2,1,0
1,2,1,3,1,1,1,1,4,2.5,2,1,1
1,2,1,3,1,1,1.1,1,3,1,1,1,0
1,3,0,4,1,1,1.3,1.1,4,1,1,1,0
1,3,1,4,1,1,1,1,4,1,1,1,1
1,3,1,3,1,1,1,1,3,2,1,1,0
1,3,1,4,1,1,1,1,4,3,3,1,0
1,2,1,3,1,1,1.1,1,4,1,1,1,1
1,3,1,4,1,1,1,1,4,1,1,1,1
1,3,0,4,1,1,1.6,1,4,1.5,1.5,1,1
1,1,1,3,0,1,1.7,1.2,4,1,1,1,0
1,3,1,2,1,1,1,1,4,1,1,1,1
1,3,0,3,1,1,1,1,4,1,1.5,1,1
1,3,1,3,1,1,1,1,4,1,1,1,1
1,3,0,3,1,1.6,1.3,1.8,2.75,1.5,3,1.286,0
1,2,1,3,1,1.6,1,1,3.75,3,3,1,0
1,2,3,4,1,1,1,1,3,1.5,1.5,1,0
1,2,1,3,1,1,1,1,4,1.5,1.5,1.143,1
1,2,0,4,1,1,1.1,1,3.75,1,2,1,1
1,1,1,2,1,1,1.1,1,3,1.5,1,1,0
1,3,1,3,1,1,1,1,4,1,1,1,1
1,2,1,3,1,1,1,1,4,1,1,1,1
1,2,0,3,1,1,1,1,3,1,1,1,0
1,3,5,2,1,1.6,1.3,1,3.25,1,1,2,1
1,2,1,3,1,1,1,1,3,1,1,1.143,0
1,1,3,2,1,1,1.5,1,3,1,1,1,0
1,2,0,4,0,1,1.2,1,3.5,1,1,1,0
1,2,1,3,1,1,1,1,4,1,1,1,1
1,3,1,3,1,1,1.2,1,3,1,1,1.286,0
1,3,4,3,1,1,1,1,2.5,1,1,1,1
1,3,3,3,1,1.2,1.5,1.3,3,1,1,1.143,0
1,3,3,4,1,1,1,1,4,1,1,1,1
1,3,0,3,0,1,1.3,1.5,3,1,1,1,0
1,3,2,4,1,1,1,1,4,1,1,1,1
1,2,3,4,0,1.6,1,1,2.75,1,1,1.857,0
1,3,2,3,1,1,1,1,3.75,1,2,1,1
1,3,3,4,1,1,1.2,1,3.75,1,1,1,1
1,2,1,3,1,1,1.4,1,3,1,1,1,0
1,3,1,2,1,1,1.2,1,3.5,2,1,1.143,0
1,2,5,3,1,1,1,1,4,1,1,1,0
1,2,1,3,1,1,1.1,1,3.5,2,1.5,1.143,0
1,1,1,2,1,1,1,1,3.25,1,1,1,0
1,3,2,4,1,1,1,1.3,2.25,1,1,1,1
1,3,5,3,1,1,1,1,3,1,1,1,1
1,2,2,3,1,1,1.1,1,3.75,1,1,1,0
1,3,3,2,1,1,1.2,1,3.75,1,1,1,0
1,2,0,3,1,1,1,1,4,1,1,1,1
1,3,2,3,1,1,1,1,1,1,1,1,1
1,3,1,2,NA,1,1.2,1,3.5,1.5,1,1,1
1,2,3,3,0,1,1.4,1.5,2.5,2,1,1,0
1,2,4,3,1,1,1,1,4,1,1,1,1
1,3,2,3,1,1,1,1,4,1,1,1,1
1,3,0,3,1,1,1,1.1,4,1,1,1,0
1,3,2,4,1,3.2,1,1.1,3,2.5,3,2,1
0,2,4,4,1,1,2.3,1.1,2.75,1,1,1,0
0,2,3,3,1,1,1,1,4,1,1,1,1
0,3,2,3,1,1,1,1,4,1,1,1,1
0,3,2,3,1,1,1,1,3.75,1,1,1,0
0,2,1,3,1,1,1.6,1.6,4,1,1,1,1
0,2,1,3,NA,1,1.3,1,3,1,1,1,1
0,2,2,3,1,1,1,1,2.75,1,1,1,0
0,2,0,2,1,1,1,1,3,1,1,1,1
0,2,2,1,1,1,1.1,1,3,3,1,1,0
1,2,1,4,1,1,1,1,4,1,2,1,1
1,3,0,3,1,1.6,1.1,1,3.75,1,1,1,1
1,3,0,4,1,1,1,1,4,1,1,1,1
1,1,0,2,0,1.8,2.5,1.5,3,2.5,3,1.857,0
1,2,0,4,1,1,1,1,4,1,1,1,1
1,3,1,2,1,1,1.4,1.2,4,1,2.5,1,0
1,3,0,4,0,1,1,1,4,1,1,1,0
1,2,1,3,1,1.2,1,1.2,3.5,1,1,1,1
1,3,2,2,1,1,1.3,1,2.75,1.5,1.5,1,0
1,3,0,3,1,1,1.1,1,4,1,1,1,0
1,2,1,3,1,1,1,1,4,1,1,1,1
1,3,1,3,1,1,1.4,1,4,1,1,1,1
1,1,1,2,1,1,1.3,1.1,3,2.5,1,1,0
1,3,2,3,1,1,1.1,1.1,4,1,1,1,1
1,2,2,3,1,1,1,1,3.75,1,1,1,1
1,3,1,4,1,1.2,1.4,1,4,1,2,1,1
1,2,0,4,1,1,1,1,2,1,2.5,1,1
1,1,3,2,1,1,1.3,1,2.75,3,1.5,1,0
1,3,2,2,1,1,2.2,3,4,1,1,1,0
1,2,2,3,1,1,1,1,3,1,1,1,1
1,3,2,2,1,1,1,1,4,1,1,1,0
1,3,0,2,1,1,1.2,1,4,1,2.5,1,0
1,2,1,4,1,1,1.2,1,4,1,1,1,1
1,3,0,3,1,1,1.1,1.1,4,1,1,1,1
1,1,1,2,1,1.4,1,1,3,1,1,1,0
1,3,2,4,1,1,1.1,1,3.75,1,1,1,1
1,2,1,3,1,1,1,1,4,1,1,1,1
1,2,0,4,1,1,2.4,1.9,4,1,1,1,1
1,1,1,2,0,1,1.7,1.2,3,2,1,1,1
1,2,0,4,1,1,1.4,1,3,1.5,1,1,1
0,2,1,3,1,1,1.2,1.2,4,1,1.5,1.571,1
0,3,1,4,1,1,1,1,4,1,1.5,1,1
0,1,0,3,0,1,1,1,2.5,2.5,1,1,0
0,1,1,3,0,1,1.1,1.1,3,1,1,1,0
0,2,2,4,1,1,1,1,4,1,1,1,1
0,2,0,3,1,1,1.1,1,3,1,1,1,1
0,2,1,3,1,1,1,1,4,1,1,1,0
0,2,0,3,1,1,1,1,4,1,1,1,1
0,3,1,3,1,1,1.1,1,3,1,1,1,1
0,2,1,3,1,1,1.1,1,4,1,1,1,1
0,2,1,3,1,1,1,1,3.75,1.5,1,1.286,0
0,2,1,3,1,1,1.4,1,3,1,1,1,0
0,2,0,3,1,1,1,1,3,1,1,1,0
0,3,0,3,1,1,1,1,4,1,1,1,1
0,1,2,2,1,1,1.3,1.1,3.25,1,1.5,1,0
0,2,4,3,1,1,1,1,3.5,1,1,1,0
0,3,4,3,1,1.2,1,1,3.75,1,3,1.429,1
0,2,1,2,1,1.2,1,1,3.5,1,1,1,1
0,2,5,3,1,1,1.3,1,3.5,1,1,1,0
0,2,5,2,1,1,1.2,1,3,1,1,1,0
0,3,3,3,1,1,1.4,1.3,3.75,1,1.5,1,1
0,3,2,3,1,1.2,1.2,1,3.25,4,2,1.286,0
0,1,1,2,1,1,1,1,3.75,1,1,1,0
0,2,1,2,1,3.2,1.7,1.3,3.75,2.5,1,1.143,1
1,2,2,3,1,1.2,1,1,3.75,1,1,1,0
1,1,3,3,1,3.2,1.8,1,3,1,2,1,0
1,1,2,3,1,1,1.5,1,3,2,1.5,1.286,0
1,2,3,3,1,1,1,1,4,1,1,1,1
1,3,5,3,1,1,1,1,3.25,1.5,1,1,1
1,2,1,2,0,1,2,2,3,1,1,1,0
1,3,2,1,1,2.4,1,1,4,3.5,3,3.429,1
1,3,3,4,1,1.8,1,1,3,1,1,1,1
1,3,1,3,NA,2.2,1.3,1,3,1,5,4,0
1,3,5,4,1,1,1.1,1,4,1,1,1,1
1,3,1,4,1,1.2,1,1,3.25,1,1,1,1
1,1,0,3,1,1,1.1,1,2.75,1,4,1,0
1,3,4,3,1,1,1,1,3,1,1,1,1
1,3,1,3,1,1,1,1,3,1,1,1,0
1,2,1,3,1,1,1,1,3,1.5,2,1,0
1,2,0,3,0,1,1.2,1,2.25,4,2,1,0
1,3,0,4,1,1,1,1,3.5,1,3,1,1
1,3,1,3,1,1,1,1,3.5,1,1,1,1
1,3,4,4,NA,1,1,1,3.25,1,1,1,1
1,2,0,3,1,1,1.1,1,4,1,1,1,1
1,2,0,4,1,1,1,1,4,2,4,1,0
1,3,4,3,1,1,1,1,3,1,1,1,0
1,3,3,3,1,2.4,1.1,1,3.25,1,2,1,0
1,1,1,3,0,1.8,1.9,1,3.25,1.5,2,1.143,0
0,2,4,3,1,1,1,1,3.25,1,1,1,0
0,2,3,3,1,1,1.1,1.2,3,1,2.5,1,0
0,2,4,1,1,1,1.2,1,3,1,2.5,1,0
0,1,3,3,1,1,1,1,3,3,1.5,1,0
0,3,5,3,1,1,1.1,1.1,3.25,1,1,1,0
0,3,0,2,0,4.2,2.1,1.5,2.75,3.5,2.5,1,0
0,3,5,3,1,1,1.3,1.1,3,1,1,1,0
0,1,5,3,0,1.6,1.8,1.4,2.75,2,2,1.714,0
0,3,0,3,1,1,1.1,1.2,2.75,1.5,2.5,1,0
0,1,2,2,1,1,1.5,1,2.5,3.5,1.5,1,0
0,2,2,3,1,1,1.1,1,2.25,1.5,2.5,1,0
1,3,3,3,1,1,1,1,3.75,1,1,1,1
1,3,2,3,0,1,1,1,4,1,1,1,1
1,1,2,3,1,1,1.1,1,3,1,1,1,0
1,3,3,4,1,1,1.1,1,4,1,1,1,1
1,2,2,3,0,1,1,1.2,3,1,1,1,1
1,2,2,3,1,1,1,1.2,3,3,1,1,0
1,2,1,3,1,1,1,1,2.75,1.5,1,1,1
1,2,0,3,1,1,1,1,2.75,1,4,1,0
1,3,0,3,1,1.8,1,1,3,1,1,1,1
1,3,4,4,1,1,1,1,4,1,1,1,1
1,1,5,3,1,1.2,1.1,1,3,1,1.5,1,0
1,2,2,3,1,1,1.2,1.2,3.5,1,1,1,0
1,1,5,2,1,1.4,1.4,1.5,2.5,1,2,1.143,0
1,2,1,2,0,1,1.4,1,3,1,1,1.143,0
1,2,3,3,1,1,1.2,1.1,2.75,1.5,1,1,1
1,1,3,2,1,1.2,1.5,1.3,3.25,3,2,1.571,0
1,3,1,2,1,1,1.4,1.2,3.25,1.5,2.5,1.429,0
1,2,0,4,1,1,2.1,1.5,3.25,1,4,1,1
1,2,0,3,0,1,2,1.9,3,1,1,1,1
1,3,0,3,1,1,1.3,1,2.75,1.5,1.5,1.143,0
1,3,5,4,1,1,1,1,3,1,1,1,1
1,2,3,3,1,1,1.2,1,4,1,2,1,0
1,2,2,3,1,1,1.3,1.2,4,1,1,1,1
1,3,2,3,1,2.8,1,1,3.5,1,1,1,1
1,2,3,3,1,1,1,1,3,1,1,1,1
1,2,2,4,1,1,1,1,4,1,1,1,1
1,2,4,4,0,1,1.3,1,3,1,1,1,0
1,2,4,3,1,1,1,1,3,1,1,1,0
1,3,2,3,1,1,1,1,3,1,1,1,1
1,2,2,2,1,1,1,1,3,1,1,1,0
1,3,4,3,1,1,1,1,4,1,1,1,1
1,2,0,3,0,1,1,1,4,1,1,1,1
1,3,2,3,1,1,1,1,4,1,1,1,1
1,2,2,2,1,1,1,1,2.75,1,1,1,1
1,3,2,3,1,1,1,1,3.75,1,1,1,1
1,2,5,3,1,1,1,1,3.75,1,1,1,1
1,1,4,2,1,1,1,1,2.75,1,1,1,0
1,2,5,4,1,1,1,1,2.75,1,1,1,1
1,3,3,4,1,1,1,1,4,1,1,1,1
0,1,4,3,1,1,1.4,1,3,1,1,1,0
0,2,1,2,1,1,1.2,1.1,2.75,3,1,1.143,0
0,2,4,3,1,1,1,1,3.5,1,1,1,0
0,2,3,3,1,1,1,1,3.75,1,1,1,1
0,2,5,2,1,1.4,2.1,1,3,2,1,2,0
0,3,3,3,1,1,1,1,4,1,1.5,1,1
0,2,1,2,0,1,1,1,3.5,1,1,1,0
0,3,4,4,1,1,1,1,3,2,1.5,1,1
0,2,0,2,1,1.2,1.3,1,2.75,2,3,1.429,0
0,1,1,1,0,1,2.5,1.1,2.5,2.5,1.5,1,0
0,2,3,3,0,1,1,1,3.5,1,1,1,0
1,1,1,2,1,1.2,1.4,1.4,1.25,1,1,1.143,0
1,3,4,3,1,1,1,1,4,1,1,1,1
1,2,2,4,1,1,1,1,3,1,5,1,1
1,3,4,2,1,1,1,1,4,1,1,1,1
1,2,1,4,1,1,1,1,2.75,1,1,1,0
1,2,2,4,1,1,1,1,3.75,1.5,1,1,1
1,3,1,3,1,1,1,1,3,1,1,1,1
1,3,3,2,1,1,1,1,3,1,2.5,1,1
1,2,2,3,1,1,1.2,1,3.75,2,2,1.143,1
1,2,0,4,1,1,1,1,4,1,1,1,1
1,2,1,3,1,1.2,1,1,3,1,1,1,0
1,2,1,3,1,1,1,1,4,1,5,1,0
1,3,4,3,NA,1,1.1,1.1,3,1,2.5,1,0
1,2,3,3,1,1.2,1,1,3,1,1,1,1
1,2,2,3,1,1,1.2,1,3.5,1,1,1,1
1,2,5,3,1,1,1,1,4,1,1,1,1
1,2,3,3,1,1,1,1,3,1,1,1,0
1,1,3,2,1,2.2,2.9,1.9,3.25,3,5,1,0
1,2,3,3,0,1,1,1,3,1,1,1,0
1,3,3,4,1,1,1.3,2,3,1.5,4,1,0
1,3,2,2,1,1.2,1,1,3,2,1,1,1
1,3,2,3,1,1,1,1,4,1,1,1,1
1,1,3,2,1,1,1,1,3,1,1,1,1
1,2,1,3,1,1,1.1,1.1,2.25,1,1,1,0
1,3,3,3,1,1,1,1,4,1,2.5,1,1
1,2,1,4,1,1.2,1,1,3,2.5,2.5,1,0
1,2,1,4,1,2,1.1,1,4,1.5,1,2,0
1,2,5,3,1,1,1.5,1,4,3,1,1,1
1,3,1,3,1,1,1,1,4,1,1.5,1.429,0
1,2,2,4,NA,1,1,1,4,1,1,1,1
1,2,0,3,1,1,1.5,1.1,3,1.5,3.5,1,0
1,2,2,3,1,2.8,2.8,1,3,1.5,4,4.143,0
1,1,3,3,NA,1,1.5,1.5,4,1,3.5,1,0
1,3,5,3,1,1,1,1,3,1,1,1,1
1,3,3,4,NA,1,1,1,3.75,1,3,1,1
1,3,1,4,1,3.4,2.2,1,2,1,4.5,1,1
1,2,3,2,1,1.6,1,1,2.75,1,1,1,1
1,3,0,4,1,1,1,1,4,1,1,1,1
1,3,1,4,1,1,1.1,1,3,1.5,1.5,1,1
1,2,2,3,1,1,1,1,3,1.5,5,1,1
0,1,2,3,1,1.6,1.3,1.1,3.5,2.5,2,1.286,0
0,3,0,3,1,1,1,1,3.75,1,1,1,1
0,2,2,3,1,1.4,1.4,1,4,3.5,1,1,0
0,3,0,3,1,1,1.1,1,3.75,1,1,1,0
0,3,3,3,1,1,1.4,1.2,4,1,1,1,0
0,1,2,3,1,1,1,1,4,1,1,1,1
0,2,0,2,1,1.2,1.6,1,4,1,1,1.571,0
0,1,1,3,1,1,1,1,4,1,1,1,1
0,3,3,3,1,1,1,1,4,1,1,1,1
0,1,1,3,1,1,1.3,1,3,2.5,1,1,1
0,3,2,3,1,1,1.1,1,3.5,2,1,1,0
0,3,2,3,1,1,1.1,1.1,4,2.5,1,1,0
0,2,0,3,1,1,1,1,4,1,1,1,0
0,2,3,3,1,1,1,1,3,1,1,1,1
0,2,1,1,1,1,2.1,1.1,3,1,2.5,1,0
0,2,1,3,1,1,1.5,1,3.5,1,1,1,0
0,2,3,3,1,1,1.2,1.222,4,1,1,1,1
0,2,2,3,1,1,1.7,1.3,4,1,1,1,0
0,2,0,4,1,1,1,1,4,1,1,1,0
0,1,2,3,1,1,1.2,1.1,3.75,1,1,1,1
0,2,2,3,1,1,1,1,3,1,1,1,0
0,3,1,2,1,1,1,1,4,2.5,3,1,1
0,2,4,3,1,1,1.1,1,4,1,1,1,1
0,2,2,4,1,1,1,1.4,3.75,1.5,1,1,1
1,3,4,3,1,1,1.2,1,4,1,1,1,1
1,2,3,3,1,1,1,1,3.75,1,1,1,1
1,3,4,4,1,1,1.1,1,3,1,2.5,1,1
1,2,2,4,1,1,1.1,1,3.25,1,1,1,0
1,1,0,3,1,1.6,1,1,3.25,1,1,1,1
1,3,5,3,0,1.2,1.8,1,2,3,1.5,1.857,0
1,2,4,3,1,1,1,1,3,1,1,1,1
1,3,3,4,1,1,1.2,1,4,1,2,1,1
1,3,2,3,1,1,1,1,4,1,4,1,1
1,3,5,2,1,1,1,1,4,1,1,1,1
1,2,1,3,1,1,1,1,4,1,1,1,1
1,2,1,3,1,1,1,1,3,1.5,1,1,0
1,1,3,3,1,1,1,1.1,4,1,1,2,1
1,1,4,3,1,1,1,1,3,1,1,1.286,0
1,3,3,2,1,3,4.778,4.1,3.25,1.5,3.5,2.429,1
1,3,5,4,1,3,3.889,4,4,2,2,3,1
1,1,5,3,1,1,1,1,1.25,1,1,1,1
1,3,3,2,1,1,1,1,3.75,1,1,1,0
1,3,3,3,1,1,1.2,1,4,1.5,2.5,1,1
1,1,2,3,0,1,1,1,2.25,1,1,1,1
1,3,5,4,1,1,1,1,4,1,1,1,1
1,3,3,3,1,1,1,1,4,1,1,1,0
1,1,3,3,1,1,1,1,3.75,1,1,1,0
1,3,4,3,1,1,1,1,4,1,1,1,1
1,2,3,3,1,1,1,1.3,3,1,1,1,0
1,3,5,3,1,1,1,1,3,1,1,1,0
0,1,3,4,1,1,1.2,1,4,1,2,1,1
0,3,0,3,1,1,1.4,1,4,2,2,1,1
0,3,0,3,1,1,1.2,1,4,1,1,1,0
0,2,0,3,1,1,1.3,1,3.75,1,1,1,0
0,3,5,3,1,1,1,1,4,1,1,1,1
0,1,0,3,1,1,1,1.1,4,1.5,1.5,1,0
